Source,Target,Type,Id,Label,timeset,Weight
547,TALAGANTE,Directed,1259,,,1
548,TALAGANTE,Directed,1260,,,1
549,TALAGANTE,Directed,1261,,,1
551,VITACURA,Directed,1263,,,1
552,VITACURA,Directed,1264,,,1
553,VITACURA,Directed,1265,,,1
554,VITACURA,Directed,1266,,,1
555,VITACURA,Directed,1267,,,1
556,VITACURA,Directed,1268,,,1
557,VITACURA,Directed,1269,,,1
558,VITACURA,Directed,1270,,,1
559,VITACURA,Directed,1271,,,1
560,VITACURA,Directed,1272,,,1
561,VITACURA,Directed,1273,,,1
562,VITACURA,Directed,1274,,,1
563,VITACURA,Directed,1275,,,1
564,VITACURA,Directed,1276,,,1
565,VITACURA,Directed,1277,,,1
566,VITACURA,Directed,1278,,,1
567,VITACURA,Directed,1279,,,1
568,VITACURA,Directed,1280,,,1
569,PENALOLEN,Directed,1281,,,1
570,SAN MIGUEL,Directed,1282,,,1
571,SANTIAGO,Directed,1283,,,1
572,COLINA,Directed,1284,,,1
573,QUILICURA,Directed,1285,,,1
574,PUENTE ALTO,Directed,1286,,,1
575,PAINE,Directed,1287,,,1
576,SAN JOAQUIN,Directed,1288,,,1
577,LA FLORIDA,Directed,1289,,,1
578,LAS CONDES,Directed,1290,,,1
579,PROVIDENCIA,Directed,1291,,,1
580,SAN BERNARDO,Directed,1292,,,1
581,LAS CONDES,Directed,1293,,,1
582,SAN JOAQUIN,Directed,1294,,,1
583,MAIPU,Directed,1295,,,1
584,RECOLETA,Directed,1296,,,1
585,LO BARNECHEA,Directed,1297,,,1
586,PUDAHUEL,Directed,1298,,,1
587,VITACURA,Directed,1299,,,1
588,LA REINA,Directed,1300,,,1
589,SAN BERNARDO,Directed,1301,,,1
590,LA REINA,Directed,1302,,,1
591,LA REINA,Directed,1303,,,1
592,LAS CONDES,Directed,1304,,,1
593,VITACURA,Directed,1305,,,1
594,PUENTE ALTO,Directed,1306,,,1
595,VITACURA,Directed,1307,,,1
596,SANTIAGO,Directed,1308,,,1
597,RECOLETA,Directed,1309,,,1
598,VITACURA,Directed,1310,,,1
599,PROVIDENCIA,Directed,1311,,,1
600,LA PINTANA,Directed,1312,,,1
601,LA FLORIDA,Directed,1313,,,1
602,NUNOA,Directed,1314,,,1
603,SAN BERNARDO,Directed,1315,,,1
604,CERRILLOS,Directed,1316,,,1
605,MELIPILLA,Directed,1317,,,1
606,LA REINA,Directed,1318,,,1
607,SANTIAGO,Directed,1319,,,1
608,ISLA DE MAIPO,Directed,1320,,,1
609,PROVIDENCIA,Directed,1321,,,1
610,SAN BERNARDO,Directed,1322,,,1
611,PUENTE ALTO,Directed,1323,,,1
612,NUNOA,Directed,1324,,,1
613,QUILICURA,Directed,1325,,,1
