,Source,Target,distancias,longitudclase,pesos
291324,409,420,962.980830936551,B,0.905114773455815
291326,409,422,767.218174528877,B,0.922916963575254
291336,409,432,957.702520203688,B,0.905585756739584
291610,409,706,618.920693491014,B,0.936876012369779
291752,410,135,872.758116761209,B,0.91323332581577
292019,410,402,507.361309747765,B,0.947658460393312
292280,410,663,528.034711199586,B,0.945641637919965
293464,412,421,616.106802879384,B,0.937144963521605
294164,413,408,561.513885635059,B,0.942393675522377
294350,413,594,576.1865659006,B,0.940977235346161
294893,414,424,603.379458013876,B,0.938363372071633
295591,415,409,925.186619847032,B,0.908497993252578
296321,416,426,975.572252794167,B,0.903993217609947
296558,416,663,961.403757066647,B,0.905255444314394
296743,417,135,973.806052970555,B,0.904150370718859
297271,417,663,628.325216290462,B,0.935978248873823
298027,418,706,506.968068742574,B,0.947696906946283
298166,419,132,766.971040915216,B,0.922939879910309
298433,419,399,749.254272751307,B,0.924585700115087
298442,419,408,922.982482166347,B,0.908696081472714
298628,419,594,908.866968601529,B,0.909966708666818
298678,419,644,971.965141395877,B,0.904314229704029
299156,420,409,962.980830936551,B,0.905114773455815
299872,421,412,616.106802879384,B,0.937144963521605
300582,422,409,767.218174528877,B,0.922916963575254
301999,424,400,608.859286930934,B,0.937838391347969
302000,424,401,600.773471089408,B,0.938613238125373
302007,424,408,889.737832462648,B,0.911694325458693
302013,424,414,603.379458013876,B,0.938363372071633
302173,424,574,632.360285468197,B,0.935593585107516
302193,424,594,905.170139233722,B,0.910300071201234
302243,424,644,732.394763251412,B,0.926157344139387
302745,425,433,715.442844239536,B,0.927742998888135
303427,426,402,902.801414590987,B,0.910513799973216
303441,426,416,975.572252794167,B,0.903993217609947
307712,432,409,957.702520203688,B,0.905585756739584
308441,433,425,715.442844239536,B,0.927742998888135
309166,434,437,574.7050611597,B,0.941120060432821
309168,434,439,824.185193272158,B,0.917664688727259
309375,434,646,607.383972659253,B,0.937979672191836
309434,434,705,839.043869854675,B,0.91630455597241
311302,437,434,574.7050611597,B,0.941120060432821
311573,437,705,903.909577926603,B,0.910413798489408
312020,438,439,513.569469468445,B,0.94705191150094
312194,438,613,882.329231569335,B,0.912365184780743
312728,439,434,824.185193272158,B,0.917664688727259
312732,439,438,513.569469468445,B,0.94705191150094
312735,439,441,822.348637183559,B,0.917833083741107
312907,439,613,627.585948876605,B,0.936048757636572
313620,440,613,506.967849707225,B,0.947696928361893
314159,441,439,822.348637183559,B,0.917833083741107
315759,443,613,891.847619854105,B,0.911503461657149
316385,444,526,929.828751811917,B,0.908081082221847
316389,444,530,610.502430465615,B,0.937681088723101
317020,445,448,820.570194207,B,0.917996209236498
317732,446,447,703.237582863068,B,0.928888025122631
318444,447,446,703.237582863068,B,0.928888025122631
318447,447,449,730.427587164972,B,0.926341072514748
319156,448,445,820.570194207,B,0.917996209236498
319871,449,447,730.427587164972,B,0.926341072514748
321309,451,459,800.403053517629,B,0.919850080487378
322017,452,454,596.399064992295,B,0.939032962232343
322019,452,456,978.576998797449,B,0.903725986502229
323441,454,452,596.399064992295,B,0.939032962232343
324161,455,459,871.671626627196,B,0.913331979544807
324867,456,452,978.576998797449,B,0.903725986502229
325629,457,501,941.884424216335,B,0.907000144368508
325636,457,508,749.419644833746,B,0.924570310540529
325637,457,509,746.603565700945,B,0.924832445629359
325642,457,514,841.402421129245,B,0.916089029731801
325655,457,527,849.922312601634,B,0.915311319376965
325657,457,529,916.580365075547,B,0.909271936759972
325667,457,539,814.280579035714,B,0.918573581897592
325823,457,695,881.395817671661,B,0.912449776770358
326342,458,501,671.831454357754,B,0.931847399218813
326343,458,502,880.385263105515,B,0.912541377431218
326344,458,503,934.104905951453,B,0.907697378188918
326348,458,507,825.372802629524,B,0.917555828952096
326355,458,514,552.719496534463,B,0.943244695419564
326361,458,520,933.934457960512,B,0.907712666470269
326368,458,527,525.777340271064,B,0.945861441285991
326370,458,529,576.802110309276,B,0.940917906275685
326374,458,533,987.948245594529,B,0.902893555967295
326380,458,539,807.410742921976,B,0.919205047984307
326480,458,639,928.76857163585,B,0.908176263549295
326536,458,695,793.029073783989,B,0.92052980690485
327005,459,451,800.403053517629,B,0.919850080487378
327009,459,455,871.671626627196,B,0.913331979544807
327151,459,597,836.65619381455,B,0.916522846980194
330136,464,17,897.456529405164,B,0.91099643506257
332017,466,472,694.690107222947,B,0.929691583509593
332024,466,479,732.657062982769,B,0.92613285163393
332730,467,472,678.759379274031,B,0.931192966566728
332737,467,479,803.683488632361,B,0.91954801561919
332861,467,603,506.734342926177,B,0.947719759428898
333443,468,472,660.436257327076,B,0.932925826971229
333450,468,479,831.605790277115,B,0.916984918149592
333574,468,603,566.004559032388,B,0.941959711761341
334273,469,589,710.553975798724,B,0.928201304857557
334294,469,610,516.677007896272,B,0.946748590651744
334986,470,589,710.553975798724,B,0.928201304857557
335007,470,610,516.677007896272,B,0.946748590651744
335582,471,472,712.266515199512,B,0.928040711684793
335589,471,479,751.813870012802,B,0.924347560629245
336289,472,466,694.690107222947,B,0.929691583509593
336290,472,467,678.759379274031,B,0.931192966566728
336291,472,468,660.436257327076,B,0.932925826971229
336294,472,471,712.266515199512,B,0.928040711684793
336297,472,474,716.233923574837,B,0.927668881856542
336298,472,475,901.415631938402,B,0.9106388849485
336299,472,476,675.135528321306,B,0.931535171742813
336301,472,478,767.217687903465,B,0.922917008698192
336302,472,479,531.601927810011,B,0.945294501242139
336579,473,43,572.450320525615,B,0.941337512875901
336580,473,44,539.510053119537,B,0.944525845592946
337721,474,472,716.233923574837,B,0.927668881856542
337728,474,479,759.067062509036,B,0.923673404875641
338434,475,472,901.415631938402,B,0.9106388849485
338441,475,479,752.104473029786,B,0.924320531296723
339147,476,472,675.135528321306,B,0.931535171742813
339154,476,479,809.54399306239,B,0.91900886958368
339278,476,603,518.295309277712,B,0.946590708290714
339977,477,589,710.553975798724,B,0.928201304857557
339998,477,610,516.677007896272,B,0.946748590651744
340573,478,472,767.217687903465,B,0.922917008698192
340580,478,479,708.248916514744,B,0.92841754928183
341280,479,466,732.657062982769,B,0.92613285163393
341281,479,467,803.683488632361,B,0.91954801561919
341282,479,468,831.605790277115,B,0.916984918149592
341285,479,471,751.813870012802,B,0.924347560629245
341286,479,472,531.601927810011,B,0.945294501242139
341288,479,474,759.067062509036,B,0.923673404875641
341289,479,475,752.104473029786,B,0.924320531296723
341290,479,476,809.54399306239,B,0.91900886958368
341292,479,478,708.248916514744,B,0.92841754928183
341575,480,48,600.908252902784,B,0.938600311773687
343535,482,582,955.116122359209,B,0.905816719812287
345633,485,541,866.936221619192,B,0.91376220518298
345668,485,576,781.135285814797,B,0.921628284353203
347008,487,490,938.593062984465,B,0.907294999524151
347010,487,492,597.528901927633,B,0.938924518467007
347014,487,496,599.474249308084,B,0.938737859232277
347178,487,660,613.215391701786,B,0.937421484979013
347184,487,666,506.766107858514,B,0.947716653555955
347720,488,489,671.756548465305,B,0.931854480081633
347721,488,490,786.135221307737,B,0.921166184866607
348038,489,94,720.574034989122,B,0.927262463000256
348432,489,488,671.756548465305,B,0.931854480081633
348437,489,493,647.390850505244,B,0.934163497185836
348438,489,494,935.0408335205,B,0.907613439623502
348441,489,497,738.406148447419,B,0.925596350071614
349144,490,487,938.593062984465,B,0.907294999524151
349145,490,488,786.135221307737,B,0.921166184866607
349150,490,493,810.62883177761,B,0.918909137532368
349151,490,494,522.864349971523,B,0.946145234279562
349153,490,496,980.247570688793,B,0.903577480282906
349154,490,497,719.50726095761,B,0.927362325369585
349317,490,660,993.16040892438,B,0.90243123244476
349864,491,494,974.545182970074,B,0.904084597686023
349866,491,496,658.446079365202,B,0.933114431118417
350030,491,660,674.024076860038,B,0.931640178022283
350036,491,666,978.89185813454,B,0.903697993210622
350570,492,487,597.528901927633,B,0.938924518467007
350579,492,496,827.909465280288,B,0.917323397451024
