Id,Label,timeset,farmacia,lat,lng,nombre,comune,poblacion,POBLA,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
93,MARTINEZ  ACUNA,,LA CISTERNA,33.54348,-70.666708,MARTINEZ  ACUNA,,,,14,3.21439,14,0.122871,0.157047,737.728572,20,0.001464,1,0.758242,69,0.016169
94,SALCOBRAND,,LA CISTERNA,33.518528,-70.659275,SALCOBRAND,,,,12,1.962874,13,0.142347,0.177393,13376.103571,20,0.001198,1,0.590909,39,0.015486
95,MANRIQUEZ,,LA CISTERNA,33.523955,-70.660611,MANRIQUEZ,,,,13,2.668612,13,0.133913,0.168303,1996.219806,20,0.001303,1,0.641026,50,0.016184
96,SALCOBRAND,,LA CISTERNA,33.538229,-70.664881,SALCOBRAND,,,,15,4.95204,14,0.123027,0.15867,672.565932,20,0.001531,1,0.752381,79,0.017691
97,AHUMADA,,LA FLORIDA,33.511522,-70.590659,AHUMADA,,,,29,4.046658,15,0.141074,0.206538,2458.496659,5,0.001716,1,0.768473,312,0.123588
98,AHUMADA,,LA FLORIDA,33.51989,-70.595603,AHUMADA,,,,30,6.431995,15,0.135519,0.198295,224.845886,5,0.001756,1,0.770115,335,0.129014
99,AHUMADA,,LA FLORIDA,33.516006,-70.5976,AHUMADA,,,,27,6.43904,15,0.135437,0.196082,78.232909,5,0.001579,1,0.85755,301,0.12058
100,AHUMADA,,LA FLORIDA,33.543243,-70.570288,AHUMADA,,,,13,2.404517,16,0.12352,0.178736,689.174105,5,0.001126,1,0.730769,57,0.026774
101,AHUMADA,,LA FLORIDA,33.535917,-70.555482,AHUMADA,,,,9,1.508598,16,0.127133,0.175774,43.69369,5,0.000854,1,0.833333,30,0.018578
102,AHUMADA,,LA FLORIDA,33.545723,-70.569232,AHUMADA,,,,14,2.481106,16,0.123542,0.179474,707.463136,5,0.001206,1,0.659341,60,0.028292
103,AHUMADA,,LA FLORIDA,33.510377,-70.608662,AHUMADA,,,,23,6.883564,14,0.14669,0.206099,3164.423324,5,0.001379,1,0.932806,236,0.103955
104,AHUMADA,,LA FLORIDA,33.511162,-70.608098,AHUMADA,,,,22,6.053846,14,0.146658,0.205361,3164.377869,5,0.001327,1,0.930736,215,0.100169
105,AHUMADA,,LA FLORIDA,33.515655,-70.606581,AHUMADA,,,,24,5.632704,14,0.146721,0.206836,3410.619045,5,0.001431,1,0.913043,252,0.108215
106,AHUMADA,,LA FLORIDA,33.535135,-70.593341,AHUMADA,,,,24,3.158316,16,0.127228,0.186408,174.995381,5,0.001554,1,0.608696,168,0.091573
