Source,Target,Type,Id,Label,timeset,Weight,comunas
Metropolitano Oriente,363,Undirected,1780,,,1,PROVIDENCIA
Metropolitano Oriente,364,Undirected,1781,,,1,PROVIDENCIA
Metropolitano Oriente,365,Undirected,1782,,,1,PROVIDENCIA
Metropolitano Oriente,366,Undirected,1783,,,1,PROVIDENCIA
Metropolitano Oriente,367,Undirected,1784,,,1,PROVIDENCIA
Metropolitano Oriente,368,Undirected,1785,,,1,PROVIDENCIA
Metropolitano Oriente,369,Undirected,1786,,,1,PROVIDENCIA
Metropolitano Oriente,370,Undirected,1787,,,1,PROVIDENCIA
Metropolitano Oriente,371,Undirected,1788,,,1,PROVIDENCIA
Metropolitano Oriente,372,Undirected,1789,,,1,PROVIDENCIA
Metropolitano Oriente,373,Undirected,1790,,,1,PROVIDENCIA
Metropolitano Oriente,374,Undirected,1791,,,1,PROVIDENCIA
Metropolitano Oriente,375,Undirected,1792,,,1,PROVIDENCIA
Metropolitano Oriente,376,Undirected,1793,,,1,PROVIDENCIA
Metropolitano Oriente,377,Undirected,1794,,,1,PROVIDENCIA
Metropolitano Oriente,378,Undirected,1795,,,1,PROVIDENCIA
Metropolitano Oriente,379,Undirected,1796,,,1,PROVIDENCIA
Metropolitano Oriente,380,Undirected,1797,,,1,PROVIDENCIA
Metropolitano Oriente,381,Undirected,1798,,,1,PROVIDENCIA
Metropolitano Oriente,382,Undirected,1799,,,1,PROVIDENCIA
Metropolitano Occidente,383,Undirected,1800,,,1,PUDAHUEL
Metropolitano Occidente,384,Undirected,1801,,,1,PUDAHUEL
Metropolitano Occidente,385,Undirected,1802,,,1,PUDAHUEL
Metropolitano Occidente,386,Undirected,1803,,,1,PUDAHUEL
Metropolitano Occidente,387,Undirected,1804,,,1,PUDAHUEL
Metropolitano Occidente,388,Undirected,1805,,,1,PUDAHUEL
Metropolitano Occidente,389,Undirected,1806,,,1,PUDAHUEL
Metropolitano Occidente,390,Undirected,1807,,,1,PUDAHUEL
Metropolitano Occidente,391,Undirected,1808,,,1,PUDAHUEL
Metropolitano Occidente,392,Undirected,1809,,,1,PUDAHUEL
Metropolitano Occidente,393,Undirected,1810,,,1,PUDAHUEL
Metropolitano Occidente,394,Undirected,1811,,,1,PUDAHUEL
Metropolitano Occidente,395,Undirected,1812,,,1,PUDAHUEL
Metropolitano Occidente,396,Undirected,1813,,,1,PUDAHUEL
Metropolitano Occidente,397,Undirected,1814,,,1,PUDAHUEL
Metropolitano Occidente,398,Undirected,1815,,,1,PUDAHUEL
Metropolitano Suroriente,399,Undirected,1816,,,1,PUENTE ALTO
Metropolitano Suroriente,400,Undirected,1817,,,1,PUENTE ALTO
Metropolitano Suroriente,401,Undirected,1818,,,1,PUENTE ALTO
Metropolitano Suroriente,402,Undirected,1819,,,1,PUENTE ALTO
Metropolitano Suroriente,403,Undirected,1820,,,1,PUENTE ALTO
Metropolitano Suroriente,404,Undirected,1821,,,1,PUENTE ALTO
Metropolitano Suroriente,405,Undirected,1822,,,1,PUENTE ALTO
Metropolitano Suroriente,406,Undirected,1823,,,1,PUENTE ALTO
Metropolitano Suroriente,407,Undirected,1824,,,1,PUENTE ALTO
Metropolitano Suroriente,408,Undirected,1825,,,1,PUENTE ALTO
Metropolitano Suroriente,409,Undirected,1826,,,1,PUENTE ALTO
Metropolitano Suroriente,410,Undirected,1827,,,1,PUENTE ALTO
Metropolitano Suroriente,411,Undirected,1828,,,1,PUENTE ALTO
Metropolitano Suroriente,412,Undirected,1829,,,1,PUENTE ALTO
Metropolitano Suroriente,413,Undirected,1830,,,1,PUENTE ALTO
Metropolitano Suroriente,414,Undirected,1831,,,1,PUENTE ALTO
Metropolitano Suroriente,415,Undirected,1832,,,1,PUENTE ALTO
Metropolitano Suroriente,416,Undirected,1833,,,1,PUENTE ALTO
Metropolitano Suroriente,417,Undirected,1834,,,1,PUENTE ALTO
Metropolitano Suroriente,418,Undirected,1835,,,1,PUENTE ALTO
Metropolitano Suroriente,419,Undirected,1836,,,1,PUENTE ALTO
Metropolitano Suroriente,420,Undirected,1837,,,1,PUENTE ALTO
